codes,company,volumes
A252670,KODEX 200선물인버스2X,60849618873.0
A114800,KODEX 인버스,11985725290.0
A122630,KODEX 레버리지,10510024930.0
A251340,KODEX 코스닥150선물인버스,10369868826.0
A233740,KODEX 코스닥150 레버리지,4841892805.0
A069500,KODEX 200,2054609655.0
A229200,KODEX 코스닥 150,1448268895.0
A252710,TIGER 200선물인버스2X,1156066679.0
A305720,KODEX 2차전지산업,464959376.0
A102110,TIGER 200,378146870.0
A267770,TIGER 200선물레버리지,377351762.0
A305540,TIGER 2차전지테마,328559240.0
A364980,TIGER KRX2차전지K-뉴딜,221609126.0
A278540,KODEX MSCI Korea TR,220663579.0
A091170,KODEX 은행,203408466.0
A250780,TIGER 코스닥150선물인버스,183351558.0
A310970,TIGER MSCI Korea TR,182816577.0
A292150,TIGER TOP10,174934478.0
A252420,KBSTAR 200선물인버스2X,168355268.0
A232080,TIGER 코스닥150,159298459.0
A233160,TIGER 코스닥150 레버리지,158819614.0
A364960,TIGER KRX BBIG K-뉴딜,152975679.0
A130730,KOSEF 단기자금,149629836.0
A139220,TIGER 200 건설,127164615.0
A278530,KODEX 200TR,122617739.0
A091180,KODEX 자동차,110442361.0
A123320,TIGER 레버리지,110014142.0
A117700,KODEX 건설,107070294.0
A139260,TIGER 200 IT,104270524.0
A102780,KODEX 삼성그룹,102018307.0
A123310,TIGER 인버스,99554742.0
A148020,KBSTAR 200,87334043.0
A105190,KINDEX 200,85854137.0
A290130,KBSTAR ESG사회책임투자,85552630.0
A139230,TIGER 200 중공업,82054698.0
A228800,TIGER 여행레저,78612941.0
A102970,KODEX 증권,76582071.0
A367770,KBSTAR Fn수소경제테마,70960454.0
A228810,TIGER 미디어컨텐츠,62162038.0
A152100,ARIRANG 200,57506807.0
A228790,TIGER 화장품,56889122.0
A368190,HANARO Fn K-뉴딜디지털플러스,52627248.0
A364970,TIGER KRX바이오K-뉴딜,47199016.0
A253160,ARIRANG 200선물인버스2X,43342572.0
A367760,KBSTAR Fn5G테크,41116833.0
A326240,KBSTAR IT플러스,40402472.0
A091160,KODEX 반도체,39964549.0
A117680,KODEX 철강,38999879.0
A157490,TIGER 소프트웨어,37884778.0
A253230,KOSEF 200선물인버스2X,37825242.0
